Name,ID,number of warnings,Reason,Date (YYYY-MM-DD),Expiry - 60 / ∞ / ∅
ricegum fats,130292111961620480,,trolling and spamming,2016-10-15,
daytin13,187734618571538433,,trolling and spamming,2016-10-15,
spooderman,205670138501005313,,Tag spam in #newhome,2016-10-14,
asher,204142583922819072,,"Covertly contacting other users through DMs, which is weird and rude",2016-10-14,
Wierdo / BLOODYMARY,201356053877751810,,Calling others in #roleplay f-slurs and expecting to get away with it by claiming it's just a joke,2016-10-13,
fnoofles,225692788879130626,,Posting NSFW content in #undertem,2016-10-13,
Skeptic Swine,96671707519029248,,"Being a dick, constantly raising arguements and causing issues, jumping offline afterwards",2016-10-08,
MrTahpHayt,200817811247988747,,Shitting up newhome over personal drama that happened in DMs Which was irrevelant to the server.,2016-10-06,User is banned - multiple attempts of ban evasion
red,158354505199517696,,Shitposting in newhome,2016-10-04,
Spicy Doritos / An idiot n00b,218785093983010816,,Several severe cases of shitposting in #musicbox - is banned from using the bot. Some posts were so severe we considered a general ban.,2016-10-04,
MrTahpHayt,200817811247988747,,"Disrupting #newhome with suicidal thoughts, and claiming everyone on the server was just trying to harm him.",2016-10-04,User is banned - multiple attempts of ban evasion
lykakspars,174397080821825546,,Derailing #home with images.,2016-10-01,User is banned
Kirimash,142706650246152192,,"User angered people in #newhome to the point where they told him to stop, and told someone not to come back after they implied that they'll commit suicide. This went on for 2 days, and they were in #judgmenthall once already.",2016-10-01,User is banned
Xkinetism3,201644417466105856,,Memed contextlessly outside of #undertem and derailed convos with said memes.,2016-10-01,
